Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
3300-3399 LELIA,B,7C20,7,Northeast Division,Auto Theft,Driveway,GREATER FIFTH WARD,55,1476611100000.0,2016-10-16 04:45:00,Sunday,October,04:45:00,29.788808000000003,-95.3363473,"250,444"
400-499 CROSSTIMBERS,H,3B40,3,North Division,Theft,Restaurant or Cafeteria P,INDEPENDENCE HEIGHTS,13,1475423040000.0,2016-10-02 10:44:00,Sunday,October,10:44:00,29.828440899999997,-95.39536679999999,"228,390"
100-199 W CAVALCADE ,H,2A20,2,Central Division,Theft,"Hotel, Motel, Inn, Etc.",GREATER HEIGHTS,15,1474761780000.0,2016-09-24 19:03:00,Saturday,September,19:03:00,29.804339000000002,-95.3741373,"173,195"
7800-7899 FULTON ST OB,H,3B50,3,North Division,Theft,Train (Not Metro) Termina,NORTHSIDE/NORTHLINE,45,1475508600000.0,2016-10-03 10:30:00,Monday,October,10:30:00,29.832040000000003,-95.37591640000001,"228,390"
2900-2999 STAPLES,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1475136000000.0,2016-09-29 03:00:00,Thursday,September,03:00:00,29.7887163,-95.3350947,"250,444"
5200-5299 CRANE,B,7C20,7,Northeast Division,Theft,Driveway,KASHMERE GARDENS,52,1475668800000.0,2016-10-05 07:00:00,Wednesday,October,07:00:00,29.796969300000004,-95.3187458,"250,444"
700-799 ASHLAND,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1476990000000.0,2016-10-20 14:00:00,Thursday,October,14:00:00,29.7835223,-95.40322049999999,"173,195"
3000-3099 SUMPTER,B,7C10,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1475193660000.0,2016-09-29 19:01:00,Thursday,September,19:01:00,29.7797288,-95.3393939,"250,444"
200-299 W 20TH,C,2A30,2,Central Division,Theft,Grocery Store or Supermar,GREATER HEIGHTS,15,1476369360000.0,2016-10-13 09:36:00,Thursday,October,09:36:00,29.803675899999995,-95.3998463,"173,195"
3000-3099 WHITE OAK,C,2A30,2,Central Division,Theft,Commercial Parking Lot or,GREATER HEIGHTS,15,1476108600000.0,2016-10-10 09:10:00,Monday,October,09:10:00,29.781605199999998,-95.3904832,"173,195"
4600-4699 SALINA,B,7C20,7,Northeast Division,Theft,Driveway,GREATER FIFTH WARD,55,1474675260000.0,2016-09-23 19:01:00,Friday,September,19:01:00,29.791694800000002,-95.32398640000001,"250,444"
3800-3899 BENNINGTON,B,8C10,8,Northeast Division,Aggravated Assault,Apartment,TRINITY / HOUSTON GARDENS,48,1475967300000.0,2016-10-08 17:55:00,Saturday,October,17:55:00,29.822105,-95.3333647,"250,444"
4400-4499 YALE,H,3B40,3,North Division,Aggravated Assault,Convenience Store Parking,INDEPENDENCE HEIGHTS,13,1475242500000.0,2016-09-30 08:35:00,Friday,September,08:35:00,29.828512100000005,-95.39956509999999,"228,390"
1200-1299 E 34TH,H,3B40,3,North Division,Theft,Other Parking Lot,INDEPENDENCE HEIGHTS,13,1475267400000.0,2016-09-30 15:30:00,Friday,September,15:30:00,29.817292499999997,-95.3830557,"228,390"
1700-1799 E CROSSTIMBERS,H,7C30,7,Northeast Division,Burglary,Commercial Parking Lot or,EASTEX - JENSEN AREA,46,1475857800000.0,2016-10-07 11:30:00,Friday,October,11:30:00,29.8284223,-95.3524922,"250,444"
